neighborhood,price_mean,price_median,price_std,listing_count
City of London,287.08941176470586,246.0,165.7403103570387,425
Kensington and Chelsea,277.63389976339,220.0,194.61368287744668,4649
Westminster,271.14670585353906,214.0,193.70363605705842,8166
Camden,194.61974789915968,160.0,139.31358490938808,4284
Hammersmith and Fulham,183.78650400304994,144.0,143.3093878348073,2623
Islington,175.75547445255475,141.0,137.76964886162855,2740
Wandsworth,177.7167281260476,140.0,142.59049585722155,2983
Richmond upon Thames,174.4569288389513,130.0,145.0323703697081,801
Tower Hamlets,152.2553744389322,126.0,114.91654214622424,4233
Hackney,150.59537389100126,126.0,108.19865261948304,3156
Southwark,152.4949937421777,122.0,120.99935839649332,3196
Newham,141.548802946593,119.0,103.6612661015792,1629
Lambeth,151.94875496210753,116.0,126.26032462798476,2771
Greenwich,141.07544264819091,115.0,122.94933817864741,1299
Merton,148.3517745302714,111.0,129.79143486473168,958
Brent,146.78105056455573,108.0,130.0779318104436,2037
Barnet,132.49123831775702,107.0,98.1131215001613,1712
Kingston upon Thames,139.1265560165975,100.5,128.29501864415604,482
Haringey,128.9850543478261,100.0,103.06263785855084,1472
Hounslow,129.4699886749717,98.0,112.13885320270987,883
Lewisham,115.28353253652058,95.0,97.34224286975757,1506
Waltham Forest,116.84412265758093,94.0,88.8195315534609,1174
Ealing,122.77390753641545,90.0,108.67199367125713,1579
Bromley,117.535552193646,90.0,98.30717485547952,661
Barking and Dagenham,111.70285714285714,89.0,93.26668695949968,525
Havering,120.40632603406326,86.0,113.2934151268431,411
Redbridge,116.10495626822157,80.0,120.37917250288706,686
Enfield,106.31538461538462,80.0,77.04666452790124,650
Harrow,107.72544642857143,78.5,85.8840489588845,448
Croydon,99.85436893203884,77.0,80.04936071542711,1133
Sutton,98.27247191011236,75.0,87.23935941774748,356
Bexley,107.7618025751073,73.5,97.57388774706615,466
Hillingdon,101.08689458689459,70.0,97.64583956790898,702
